Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
1929,2025-12-08,Tirupur,Tomato,139,99,123,7.0,881,21,68,96.89,7644.0,740627.16
1930,2025-12-31,Salem,Chickpea,60,48,53,6.8,702,18,63,102.11,3607.0,368310.77
1931,2025-04-07,Krishnagiri,Maize,159,72,147,6.4,764,26,68,109.34,2916.0,318835.44
1932,2025-05-22,Palladam,Chili,120,85,104,6.4,946,27,70,91.33,2827.0,258189.91
1933,2025-01-24,Trichy,Brinjal,113,62,76,6.9,1009,29,75,107.61,13399.0,1441866.39
1934,2025-04-29,Kallakurichi,Cotton,122,66,74,6.6,1152,28,62,101.61,2748.0,279224.28
1935,2025-12-03,Ramanathapuram,Cauliflower,101,68,104,6.9,1083,20,71,90.53,6042.0,546982.26
1936,2025-05-31,Thanjavur,Wheat,112,72,86,7.0,795,22,64,103.98,4560.0,474148.8
1937,2025-02-25,Ariyalur,Pumpkin,110,52,72,6.5,947,31,61,102.16,18878.0,1928576.48
1938,2025-04-02,Tiruvallur,Apple,148,87,87,6.8,946,26,70,103.95,13789.0,1433366.55
1939,2025-11-16,Vellore,Banana,164,99,141,7.1,1385,30,70,97.12,23357.0,2268431.84
1940,2025-03-13,Sankagiri,Cotton,126,48,81,7.1,1147,28,61,104.62,1354.0,141655.48
1941,2025-05-26,Virdhunagar,Banana,193,88,139,7.3,1572,31,71,102.58,31121.0,3192392.18
1942,2025-11-26,Sankagiri,Onion,126,91,88,6.8,918,22,70,105.88,10408.0,1101999.04
1943,2025-09-15,Kallakurichi,Cauliflower,134,75,73,6.6,1088,21,68,87.89,4590.0,403415.1
1944,2025-01-19,Chennai,Cabbage,152,70,102,6.8,892,18,60,104.09,4761.0,495572.49
1945,2025-06-22,Trichy,Onion,124,57,106,6.8,563,23,64,99.66,16405.0,1634922.3
1946,2025-02-03,Virdhunagar,Tomato,153,68,117,7.1,1094,21,75,100.87,6600.0,665742.0
1947,2025-01-02,Chennai,Chili,118,66,93,6.6,1067,26,71,98.81,1094.0,108098.14
1948,2025-10-29,Thanjavur,Chili,124,78,86,6.8,896,24,74,97.42,2759.0,268781.78
1949,2025-12-19,Trichy,Chickpea,71,57,44,6.6,696,23,80,107.1,3113.0,333402.3
1950,2025-06-16,Vellore,Banana,175,100,135,7.0,1407,32,68,100.09,30331.0,3035829.79
1951,2025-07-15,Cuddalore,Watermelon,165,81,133,7.5,1478,32,74,106.57,10036.0,1069536.52
1952,2025-07-19,Ooty,Cauliflower,149,64,104,6.7,869,19,74,89.6,4782.0,428467.2
1953,2025-07-12,Tiruvallur,Tomato,126,85,107,7.1,871,22,72,106.05,8492.0,900576.6
1954,2025-01-26,Dindigul,Onion,108,67,83,6.4,937,22,77,101.47,17557.0,1781508.79
1955,2025-07-21,Cuddalore,Soybean,131,45,72,7.2,1009,26,64,106.93,2948.0,315229.64
1956,2025-10-29,Tirupur,Cauliflower,131,70,85,6.5,1106,24,70,84.84,7007.0,594473.88
1957,2025-07-30,Ariyalur,Chickpea,80,43,53,6.8,768,22,69,115.35,2495.0,287798.25
1958,2025-04-29,Kallakurichi,Peas,117,48,82,6.6,984,22,70,112.72,7042.0,793774.24
1959,2025-12-23,Trichy,Rice,124,64,93,6.5,1344,23,63,97.24,4295.0,417645.8
1960,2025-02-23,Sivaganga,Apple,131,64,135,7.0,933,28,75,99.91,11374.0,1136376.34
1961,2025-09-30,Namakkal,Sugarcane,156,76,150,6.8,2001,31,77,104.88,69346.0,7273008.48
1962,2025-08-22,Krishnagiri,Cabbage,145,62,97,6.5,975,20,66,106.0,4556.0,482936.0
1963,2025-12-15,Trichy,Cotton,98,51,53,7.0,928,31,61,87.94,2090.0,183794.6
1964,2025-03-22,Tiruvannamalai,Maize,150,75,121,7.1,1109,25,69,103.44,5401.0,558679.44
1965,2025-10-04,Villupuram,Onion,104,72,93,6.5,532,22,64,110.95,21890.0,2428695.5
1966,2025-10-22,Chennai,Lemon,134,66,78,7.3,1445,24,68,112.52,11138.0,1253247.76
1967,2025-05-19,Coimbatore,Ginger,90,53,60,7.0,1343,33,74,105.21,3640.0,382964.4
1968,2025-06-29,Palladam,Onion,88,65,85,6.6,988,21,77,104.22,11566.0,1205408.52
1969,2025-05-10,Kanchipuram,Groundnut,45,35,60,6.9,921,29,72,112.25,898.0,100800.5
1970,2025-02-19,Coimbatore,Rice,141,59,113,6.4,1236,25,67,89.72,3541.0,317698.52
1971,2025-03-27,Villupuram,Carrot,67,66,66,6.5,663,14,67,101.06,12597.0,1273052.82
1972,2025-01-30,Thanjavur,Ginger,104,45,84,6.1,1479,31,70,106.02,3875.0,410827.5
1973,2025-05-20,Thoothukudi,Groundnut,66,38,59,6.7,822,23,79,126.85,1652.0,209556.2
1974,2025-11-28,Tiruvannamalai,Watermelon,173,92,106,7.1,1566,32,71,104.0,12309.0,1280136.0
1975,2025-05-10,Thanjavur,Cabbage,141,87,95,6.9,968,18,82,106.18,4663.0,495117.34
1976,2025-07-26,Ariyalur,Groundnut,69,37,53,6.7,890,26,72,127.21,2064.0,262561.44
1977,2025-01-11,Kanyakumari,Carrot,86,45,62,6.8,918,23,65,93.88,11221.0,1053427.48
1978,2025-11-03,Vellore,Cauliflower,87,67,98,6.9,939,19,71,84.74,6144.0,520642.56
1979,2025-08-08,Erode,Brinjal,125,52,81,6.7,1202,25,70,107.75,12412.0,1337393.0
1980,2025-05-28,Ariyalur,Peas,80,54,69,6.7,913,23,67,116.03,7839.0,909559.17
1981,2025-02-15,Salem,Mango,175,52,80,7.0,1334,25,68,104.17,22697.0,2364346.49
1982,2025-11-22,Thoothukudi,Mango,81,76,100,6.7,1063,28,66,95.24,22582.0,2150709.68
1983,2025-05-02,Karur,Brinjal,111,48,79,6.9,1229,30,73,107.71,10798.0,1163052.58
1984,2025-04-16,Namakkal,Cauliflower,117,70,90,6.4,1082,21,69,92.65,5441.0,504108.65
1985,2025-12-27,Karur,Sugarcane,161,96,142,7.1,1311,34,69,98.28,88084.0,8656895.52
1986,2025-12-19,Namakkal,Tomato,185,88,133,6.8,1155,23,69,89.16,6312.0,562777.92
1987,2025-04-19,Kallakurichi,Onion,123,76,94,6.8,1030,18,73,87.95,22367.0,1967177.65
1988,2025-12-28,Cuddalore,Onion,104,64,59,6.8,758,18,74,104.57,12162.0,1271780.34
1989,2025-12-15,Tiruvallur,Watermelon,143,90,120,7.0,1380,34,68,107.53,15486.0,1665209.58
1990,2025-03-29,Namakkal,Wheat,110,53,97,6.9,646,22,72,108.09,5744.0,620868.96
1991,2025-05-16,Cuddalore,Mango,131,67,83,7.2,1107,24,68,96.43,19818.0,1911049.74
1992,2025-12-14,Virdhunagar,Watermelon,131,99,106,7.1,1165,31,74,90.83,11385.0,1034099.55
1993,2025-11-17,Krishnagiri,Cabbage,138,70,100,6.6,921,22,69,81.16,5382.0,436803.12
1994,2025-07-01,Sivaganga,Peas,107,47,85,6.7,949,24,72,110.4,4184.0,461913.6
1995,2025-01-13,Ariyalur,Wheat,77,56,74,6.4,1082,25,57,107.09,5722.0,612768.98
1996,2025-11-24,Virdhunagar,Mango,155,64,102,6.8,1222,25,60,98.8,19015.0,1878682.0
1997,2025-11-27,Namakkal,Peas,118,61,100,6.7,1063,23,68,109.06,7631.0,832236.86
1998,2025-09-15,Thoothukudi,Maize,142,69,132,7.2,976,30,72,110.76,5075.0,562107.0
1999,2025-01-15,Kanchipuram,Chickpea,53,42,68,6.8,644,24,68,106.54,4467.0,475914.18
2000,2025-08-31,Dindigul,Cabbage,152,68,103,6.5,864,21,74,100.65,3135.0,315537.75
2001,2025-04-23,Namakkal,Carrot,86,34,101,7.4,845,21,66,99.74,9921.0,989520.54
2002,2025-08-15,Pudukkottai,Rice,102,73,133,6.8,1201,24,68,94.9,4871.0,462257.9
2003,2025-08-30,Sankagiri,Cotton,96,40,65,7.0,948,30,63,103.81,2253.0,233883.93
2004,2025-01-13,Perambalur,Apple,131,69,103,6.6,1090,26,69,102.15,9408.0,961027.2
2005,2025-12-17,Salem,Onion,131,67,71,6.5,704,22,66,101.52,12203.0,1238848.56
2006,2025-08-24,Ramanathapuram,Cabbage,135,65,80,6.6,1063,21,65,103.14,3780.0,389869.2
2007,2025-09-07,Cuddalore,Carrot,75,65,92,7.0,614,21,68,101.82,9343.0,951304.26
2008,2025-06-11,Villupuram,Chili,136,85,116,7.0,1307,29,72,101.59,2831.0,287601.29
2009,2025-04-15,Tirupur,Onion,114,60,85,6.9,947,22,62,99.97,12520.0,1251624.4
2010,2025-12-22,Karur,Cabbage,161,83,84,6.5,930,22,70,94.27,2808.0,264710.16
2011,2025-04-13,Tirunelveli,Chili,133,80,123,6.4,1050,27,70,97.39,2675.0,260518.25
2012,2025-06-01,Nagapattinam,Pumpkin,88,59,95,6.8,1103,30,71,100.18,17227.0,1725800.86
2013,2025-06-10,Pudukkottai,Chickpea,77,52,41,6.9,938,23,63,109.67,2805.0,307624.35
2014,2025-07-18,Virdhunagar,Brinjal,114,63,59,6.8,913,25,63,95.19,11330.0,1078502.7
2015,2025-02-10,Madurai,Ginger,106,47,65,6.7,1512,28,72,113.31,9456.0,1071459.36
2016,2025-09-25,Villupuram,Peas,104,69,85,7.1,629,22,71,117.97,5279.0,622763.63
2017,2025-06-02,Nagapattinam,Cotton,86,56,90,7.1,1055,26,68,93.11,2878.0,267970.58
2018,2025-12-20,Thanjavur,Brinjal,116,58,91,6.5,1132,27,71,101.59,11124.0,1130087.16
2019,2025-06-11,Erode,Groundnut,72,46,53,6.4,694,24,79,129.74,1504.0,195128.96
2020,2025-08-09,Kanyakumari,Maize,168,85,121,6.3,802,27,63,111.3,5810.0,646653.0
2021,2025-06-19,Sankagiri,Wheat,107,62,90,6.7,706,20,58,101.26,5082.0,514603.32
2022,2025-03-17,Pudukkottai,Carrot,96,52,65,6.7,564,20,69,103.02,11434.0,1177930.68
2023,2025-11-04,Vellore,Apple,110,95,112,6.6,1216,25,65,103.76,14515.0,1506076.4
2024,2025-08-08,Tiruvallur,Wheat,118,46,79,6.8,868,20,67,98.74,3101.0,306192.74
2025,2025-12-05,Vellore,Rice,110,69,93,6.6,1513,26,70,87.74,4072.0,357277.28
2026,2025-04-16,Karur,Soybean,114,61,69,6.7,804,28,67,102.81,2248.0,231116.88
2027,2025-11-03,Coimbatore,Maize,146,61,123,6.8,843,29,66,110.14,6359.0,700380.26
2028,2025-12-09,Ramanathapuram,Brinjal,140,71,81,6.6,1163,27,66,108.41,5840.0,633114.4
2029,2025-12-01,Karur,Groundnut,67,54,73,6.7,503,24,68,118.89,1136.0,135059.04
2030,2025-09-09,Chennai,Pumpkin,132,68,74,6.8,1314,32,67,109.71,18214.0,1998257.94
2031,2025-08-09,Salem,Watermelon,138,101,128,7.1,1290,31,70,101.03,12271.0,1239739.13
2032,2025-01-25,Villupuram,Brinjal,91,75,68,6.4,1106,27,71,99.97,12200.0,1219634.0
2033,2025-11-06,Kallakurichi,Apple,143,82,96,6.7,880,24,69,98.18,3651.0,358455.18
2034,2025-12-13,Pudukkottai,Pumpkin,95,45,78,6.6,1216,29,60,101.75,21064.0,2143262.0
2035,2025-04-08,Vellore,Wheat,109,40,75,7.1,738,24,65,109.22,3733.0,407718.26
2036,2025-05-26,Ariyalur,Brinjal,157,57,81,6.8,1093,28,71,104.05,10038.0,1044453.9
2037,2025-10-21,Cuddalore,Cotton,97,68,75,7.3,1007,28,79,99.47,2022.0,201128.34
2038,2025-09-27,Villupuram,Tomato,168,95,112,6.9,1233,24,73,98.89,7589.0,750476.21
2039,2025-07-05,Theni,Groundnut,73,60,69,6.9,611,24,73,114.12,1296.0,147899.52
2040,2025-04-10,Karur,Tapioca,108,44,91,6.6,1236,27,71,112.49,20729.0,2331805.21
2041,2025-03-12,Erode,Wheat,125,66,62,6.9,754,25,60,98.25,5498.0,540178.5
2042,2025-03-30,Thoothukudi,Cauliflower,135,63,94,6.6,914,19,83,86.15,6452.0,555839.8
2043,2025-10-01,Sankagiri,Peas,113,50,85,7.1,1110,21,73,114.91,6160.0,707845.6
2044,2025-12-04,Kanchipuram,Carrot,103,63,58,7.1,787,19,68,104.33,10231.0,1067400.23
2045,2025-04-12,Ooty,Lemon,107,56,81,6.6,1089,25,66,113.46,15818.0,1794710.28
2046,2025-06-27,Kanyakumari,Soybean,152,81,87,7.0,914,25,68,101.52,2466.0,250348.32
2047,2025-04-02,Cuddalore,Brinjal,104,78,76,6.5,936,31,78,112.3,9403.0,1055956.9
2048,2025-05-12,Villupuram,Brinjal,116,65,79,6.6,1097,28,72,110.77,3678.0,407412.06
2049,2025-02-01,Pudukkottai,Cauliflower,149,51,106,7.2,797,21,66,86.74,8348.0,724105.52
2050,2025-04-25,Salem,Soybean,140,53,61,7.2,511,24,69,100.28,1772.0,177696.16
2051,2025-08-22,Tirupur,Peas,136,60,94,6.7,921,22,66,117.14,8939.0,1047114.46
2052,2025-01-19,Kallakurichi,Soybean,123,51,62,7.1,708,24,75,112.89,2111.0,238310.79
2053,2025-04-05,Kanyakumari,Peas,86,58,72,6.6,675,23,64,118.84,6064.0,720645.76
2054,2025-09-14,Kallakurichi,Tapioca,93,35,97,7.1,1204,25,66,115.12,20887.0,2404511.44
2055,2025-04-20,Tiruvallur,Maize,147,51,126,7.0,1240,25,76,112.46,4949.0,556564.54
2056,2025-10-07,Salem,Groundnut,86,32,57,6.7,400,22,72,118.93,1152.0,137007.36
2057,2025-11-10,Thanjavur,Cauliflower,130,62,92,6.6,876,19,70,86.52,2931.0,253590.12
2058,2025-02-07,Krishnagiri,Soybean,115,56,63,6.9,784,28,76,109.53,2426.0,265719.78
2059,2025-01-14,Nagapattinam,Watermelon,169,104,116,6.8,1498,37,65,101.0,17771.0,1794871.0
2060,2025-09-01,Tirunelveli,Ginger,95,41,45,7.0,1142,31,73,105.63,5479.0,578746.77
2061,2025-05-27,Trichy,Pumpkin,95,58,83,6.6,1112,28,73,103.35,13841.0,1430467.35
2062,2025-09-14,Krishnagiri,Chili,119,74,87,6.8,1054,24,66,90.78,3205.0,290949.9
2063,2025-09-25,Vellore,Groundnut,73,50,75,6.7,629,26,66,124.27,1671.0,207655.17
2064,2025-12-06,Chennai,Tapioca,104,27,84,6.8,1261,27,73,104.53,19919.0,2082133.07
2065,2025-03-26,Coimbatore,Rice,122,69,90,6.4,1117,23,68,99.31,3438.0,341427.78
2066,2025-12-08,Virdhunagar,Pumpkin,102,20,93,6.4,1095,34,65,99.85,23639.0,2360354.15
2067,2025-10-09,Kallakurichi,Chickpea,83,47,44,6.7,921,23,65,97.96,5332.0,522322.72
2068,2025-07-27,Sivaganga,Lemon,124,62,75,7.0,1180,27,67,111.03,8265.0,917662.95
2069,2025-09-10,Ooty,Cabbage,154,73,132,6.8,979,20,62,95.24,5922.0,564011.28
2070,2025-10-15,Tiruvannamalai,Peas,88,37,75,6.9,896,22,68,112.99,4864.0,549583.36
2071,2025-08-06,Nagapattinam,Banana,176,81,134,6.9,1458,30,70,98.92,18622.0,1842088.24
2072,2025-03-31,Thanjavur,Maize,147,58,133,6.5,1253,26,74,102.61,6733.0,690873.13
2073,2025-09-28,Theni,Tapioca,89,59,67,6.6,1041,30,65,107.1,23633.0,2531094.3
2074,2025-08-31,Ooty,Wheat,132,62,86,6.6,662,21,60,98.24,5169.0,507802.56
2075,2025-07-12,Krishnagiri,Apple,130,63,86,6.8,1225,24,74,94.48,10330.0,975978.4
2076,2025-01-21,Salem,Tomato,119,70,116,6.8,1139,20,66,97.05,7181.0,696916.05
2077,2025-06-30,Madurai,Peas,132,37,70,6.6,771,22,71,114.02,8992.0,1025267.84
2078,2025-03-27,Tiruvannamalai,Tapioca,113,20,87,6.5,1321,25,70,112.52,26317.0,2961188.84
2079,2025-09-27,Kanyakumari,Wheat,116,49,74,6.9,763,25,62,110.12,6440.0,709172.8
2080,2025-03-27,Thanjavur,Tomato,157,86,124,7.1,904,21,71,109.2,3528.0,385257.6
2081,2025-01-31,Tirupur,Pumpkin,120,78,85,7.0,1117,28,73,102.59,17065.0,1750698.35
2082,2025-09-09,Vellore,Wheat,103,67,84,6.5,1070,22,67,106.05,5118.0,542763.9
2083,2025-06-11,Chennai,Brinjal,131,69,69,6.9,722,27,74,108.08,7560.0,817084.8
2084,2025-05-01,Nagapattinam,Pumpkin,106,58,75,7.0,1213,31,64,106.53,26188.0,2789807.64
2085,2025-07-12,Kallakurichi,Pumpkin,108,33,97,6.6,1111,32,67,100.29,18076.0,1812842.04
2086,2025-06-16,Krishnagiri,Wheat,123,56,94,6.7,993,22,71,102.16,5357.0,547271.12
2087,2025-11-04,Tiruvannamalai,Soybean,145,67,72,6.8,864,24,66,105.2,2357.0,247956.4
2088,2025-12-22,Palladam,Tomato,139,58,138,6.8,1187,22,77,89.34,6370.0,569095.8
2089,2025-11-30,Tiruvannamalai,Tapioca,118,40,81,7.0,1516,27,61,107.46,18994.0,2041095.24
2090,2025-03-23,Villupuram,Pumpkin,117,54,86,6.5,1146,27,74,110.17,16897.0,1861542.49
2091,2025-01-03,Kanyakumari,Rice,126,80,88,6.8,1612,26,70,104.83,6608.0,692716.64
2092,2025-05-18,Sivaganga,Mango,124,61,83,7.1,982,28,65,96.86,21299.0,2063021.14
2093,2025-02-20,Tirupur,Mango,145,83,97,7.2,899,27,80,98.81,19443.0,1921162.83
2094,2025-03-16,Trichy,Chili,141,64,134,6.5,1205,26,72,95.37,2182.0,208097.34
2095,2025-07-10,Trichy,Wheat,107,51,95,6.9,594,20,69,103.03,4537.0,467447.11
2096,2025-08-21,Salem,Banana,180,84,133,7.3,1434,30,73,100.15,23321.0,2335598.15
2097,2025-10-06,Kallakurichi,Brinjal,101,74,71,6.6,1298,28,67,103.18,17187.0,1773354.66
2098,2025-09-01,Nagapattinam,Pumpkin,124,53,84,6.8,1077,30,66,102.08,15719.0,1604595.52
2099,2025-10-25,Ariyalur,Sugarcane,182,101,123,6.8,1567,29,72,107.2,82919.0,8888916.8
2100,2025-02-10,Theni,Mango,95,60,92,7.5,804,25,75,103.29,19583.0,2022728.07
2101,2025-05-17,Thanjavur,Mango,123,65,110,6.8,1030,28,71,103.25,23690.0,2445992.5
2102,2025-12-05,Ooty,Cauliflower,96,72,83,7.3,890,20,77,88.42,6963.0,615668.46
2103,2025-03-19,Krishnagiri,Apple,146,69,114,6.8,1135,28,67,98.98,14186.0,1404130.28
2104,2025-01-10,Madurai,Ginger,70,56,100,6.4,1575,27,72,97.24,5531.0,537834.44
2105,2025-12-26,Cuddalore,Pumpkin,100,42,85,6.6,1011,30,73,109.24,18699.0,2042678.76
2106,2025-01-25,Trichy,Pumpkin,113,56,67,6.7,887,32,68,95.13,21503.0,2045580.39
2107,2025-02-02,Tiruvannamalai,Maize,164,61,131,7.0,975,31,67,106.3,4161.0,442314.3
2108,2025-08-18,Dindigul,Cauliflower,141,70,71,7.3,1134,21,69,78.32,6898.0,540251.36
2109,2025-05-05,Kanchipuram,Peas,123,58,59,6.8,821,17,64,110.76,7635.0,845652.6
2110,2025-04-16,Vellore,Carrot,93,74,66,6.8,640,19,70,102.18,9130.0,932903.4
2111,2025-03-05,Tirunelveli,Cabbage,124,73,110,6.8,722,20,73,101.2,4257.0,430808.4
2112,2025-04-13,Krishnagiri,Sugarcane,164,80,121,6.8,1785,33,76,103.97,69583.0,7234544.51
2113,2025-07-08,Dindigul,Watermelon,118,85,124,7.4,1230,31,66,104.3,8261.0,861622.3
2114,2025-04-22,Ramanathapuram,Chili,110,85,97,7.1,1123,26,65,102.73,2772.0,284767.56
2115,2025-08-05,Salem,Pumpkin,98,60,50,6.5,1259,28,60,97.35,12540.0,1220769.0
2116,2025-01-05,Virdhunagar,Cabbage,137,70,86,6.9,721,21,62,101.16,5423.0,548590.68
2117,2025-04-28,Tirupur,Carrot,95,61,81,7.0,748,21,76,106.8,10804.0,1153867.2
2118,2025-12-06,Virdhunagar,Carrot,118,45,68,6.9,798,22,75,102.98,10275.0,1058119.5
2119,2025-09-02,Thoothukudi,Chili,115,83,84,6.5,1022,27,70,103.67,2698.0,279701.66
2120,2025-05-31,Vellore,Chili,119,71,99,7.0,1058,24,73,90.24,2868.0,258808.32
2121,2025-09-30,Virdhunagar,Groundnut,42,40,63,6.5,489,24,70,120.91,1254.0,151621.14
2122,2025-09-08,Pudukkottai,Onion,112,48,67,6.4,855,23,71,103.72,14839.0,1539101.08
2123,2025-02-28,Kanyakumari,Mango,125,66,87,7.0,963,28,72,89.04,5993.0,533616.72
2124,2025-10-09,Dindigul,Mango,89,56,94,6.9,1038,28,71,95.34,21429.0,2043040.86
2125,2025-01-19,Villupuram,Wheat,106,45,72,6.8,988,23,59,111.39,1433.0,159621.87
2126,2025-05-05,Karur,Mango,130,46,77,7.1,984,31,69,101.41,23960.0,2429783.6
2127,2025-12-19,Tirupur,Chili,115,73,99,7.0,1306,27,68,99.01,1919.0,190000.19
2128,2025-09-15,Thanjavur,Peas,115,52,98,6.7,1012,22,65,109.55,5448.0,596828.4
2129,2025-08-02,Tirunelveli,Banana,165,91,136,7.3,1594,24,58,99.63,14448.0,1439454.24
2130,2025-07-21,Virdhunagar,Watermelon,131,86,126,7.1,1374,34,77,104.07,15277.0,1589877.39
2131,2025-12-19,Pudukkottai,Soybean,139,48,62,6.5,890,28,69,112.3,2464.0,276707.2
2132,2025-05-24,Kallakurichi,Carrot,110,57,70,7.1,762,21,74,100.37,8195.0,822532.15
2133,2025-09-04,Trichy,Ginger,95,49,85,6.7,1419,30,74,104.54,8648.0,904061.92
2134,2025-08-31,Chennai,Mango,127,54,101,6.9,818,28,74,101.23,25890.0,2620844.7
2135,2025-05-16,Sivaganga,Cabbage,139,74,92,6.7,685,18,66,94.04,3974.0,373714.96
2136,2025-12-30,Sankagiri,Cotton,77,62,77,7.1,1033,25,60,100.05,2329.0,233016.45
2137,2025-06-03,Virdhunagar,Carrot,103,60,61,6.9,724,19,76,106.81,9998.0,1067886.38
2138,2025-09-17,Nagapattinam,Cabbage,130,60,92,6.6,810,18,71,96.07,4338.0,416751.66
2139,2025-04-29,Virdhunagar,Brinjal,151,67,69,6.7,934,29,65,108.22,6765.0,732108.3
2140,2025-06-14,Thanjavur,Banana,147,98,127,7.2,1458,35,81,96.79,29954.0,2899247.66
2141,2025-03-27,Dindigul,Soybean,113,59,83,7.1,1008,21,75,109.93,2974.0,326931.82
2142,2025-03-12,Karur,Peas,107,57,60,6.9,806,23,60,112.51,7878.0,886353.78
2143,2025-02-19,Ramanathapuram,Brinjal,122,56,93,6.7,935,26,65,100.39,8146.0,817776.94
2144,2025-05-08,Krishnagiri,Cotton,112,44,64,6.8,861,28,69,99.96,2777.0,277588.92
2145,2025-10-24,Kanchipuram,Cabbage,150,80,112,6.4,918,19,72,106.19,3449.0,366249.31
2146,2025-08-12,Sankagiri,Pumpkin,74,44,74,7.0,988,31,79,97.61,18094.0,1766155.34
2147,2025-05-30,Kanchipuram,Watermelon,127,87,106,7.0,1675,33,70,104.79,20573.0,2155844.67
2148,2025-09-21,Cuddalore,Sugarcane,176,82,151,7.3,1760,34,73,99.57,56740.0,5649601.8
2149,2025-10-29,Kallakurichi,Cauliflower,112,84,89,6.6,1018,19,65,88.85,5092.0,452424.2
2150,2025-12-02,Tirupur,Rice,126,71,77,6.3,1284,21,70,88.54,5714.0,505917.56
2151,2025-06-11,Pudukkottai,Banana,173,105,135,7.2,1380,32,73,97.76,19890.0,1944446.4
2152,2025-04-18,Vellore,Wheat,102,78,89,6.9,894,25,73,101.06,5356.0,541277.36
2153,2025-12-24,Namakkal,Carrot,76,46,85,7.0,847,21,69,100.09,7884.0,789109.56
2154,2025-11-16,Palladam,Rice,99,75,104,6.3,1300,22,72,89.4,3126.0,279464.4
2155,2025-10-19,Chennai,Apple,150,82,123,6.5,1271,26,63,90.53,12591.0,1139863.23
2156,2025-09-19,Ooty,Tapioca,117,52,89,7.0,1371,28,69,111.93,20850.0,2333740.5
2157,2025-01-02,Sivaganga,Mango,154,66,89,7.2,901,30,61,92.45,19871.0,1837073.95
2158,2025-01-23,Chennai,Groundnut,57,41,47,6.6,522,22,79,117.52,1404.0,164998.08
2159,2025-07-12,Krishnagiri,Watermelon,145,84,137,7.3,1393,34,72,93.4,13843.0,1292936.2
2160,2025-03-04,Madurai,Cauliflower,110,68,88,7.0,1009,20,75,88.88,4153.0,369118.64
2161,2025-02-01,Tirupur,Soybean,152,52,87,7.3,1035,25,78,100.61,2917.0,293479.37
2162,2025-04-29,Cuddalore,Maize,183,60,140,6.5,1143,26,65,96.58,5362.0,517861.96
2163,2025-05-20,Vellore,Watermelon,163,88,109,7.3,1650,31,66,101.07,13011.0,1315021.77
2164,2025-01-21,Nagapattinam,Sugarcane,169,85,138,6.9,1860,30,72,108.45,87671.0,9507919.95
2165,2025-01-27,Virdhunagar,Peas,93,49,101,6.8,828,22,73,116.12,7025.0,815743.0
2166,2025-11-05,Namakkal,Lemon,134,63,77,7.3,1511,26,65,121.14,14462.0,1751926.68
2167,2025-06-06,Kanyakumari,Wheat,110,34,89,6.8,764,17,63,99.58,4582.0,456275.56
2168,2025-12-16,Thoothukudi,Soybean,128,67,94,7.0,557,27,69,111.38,2838.0,316096.44
2169,2025-12-28,Palladam,Chili,113,81,108,6.5,1060,25,62,105.27,3043.0,320336.61
2170,2025-08-27,Karur,Carrot,66,52,63,7.1,673,19,69,105.39,11312.0,1192171.68
2171,2025-03-04,Krishnagiri,Maize,131,65,102,6.7,1007,28,68,102.75,4910.0,504502.5
2172,2025-10-24,Tiruvannamalai,Onion,118,54,86,7.2,826,22,72,105.09,19442.0,2043159.78
2173,2025-12-01,Tirupur,Wheat,134,68,92,7.0,934,20,69,103.72,5075.0,526379.0
2174,2025-03-30,Tiruvallur,Wheat,99,74,78,6.7,645,19,64,102.03,3545.0,361696.35
2175,2025-03-27,Tirunelveli,Groundnut,75,45,55,6.7,703,23,66,115.96,1682.0,195044.72
2176,2025-10-28,Sivaganga,Onion,128,66,86,6.5,1007,18,67,107.4,7079.0,760284.6
2177,2025-08-10,Coimbatore,Onion,100,61,81,6.6,768,20,63,101.59,13343.0,1355515.37
2178,2025-01-19,Ooty,Sugarcane,176,98,149,7.0,1680,31,64,115.53,103755.0,11986815.15
2179,2025-04-02,Tirunelveli,Soybean,115,66,111,6.6,545,28,75,108.87,2207.0,240276.09
2180,2025-09-15,Perambalur,Soybean,143,52,77,7.0,784,25,68,112.43,2089.0,234866.27
2181,2025-12-15,Namakkal,Brinjal,130,63,90,6.7,720,26,67,107.93,10012.0,1080595.16
2182,2025-11-25,Trichy,Sugarcane,183,80,136,6.9,1652,34,74,99.55,95000.0,9457250.0
2183,2025-12-24,Erode,Cotton,108,56,78,6.8,797,25,70,102.08,2416.0,246625.28
2184,2025-07-10,Erode,Maize,141,58,126,7.0,985,31,66,104.3,8439.0,880187.7
2185,2025-03-28,Ooty,Lemon,94,73,100,6.8,1120,28,68,118.4,17978.0,2128595.2
2186,2025-12-22,Krishnagiri,Ginger,75,61,67,6.9,1634,34,78,92.77,1058.0,98150.66
2187,2025-09-04,Chennai,Groundnut,28,38,67,6.6,511,27,79,127.34,1601.0,203871.34
2188,2025-07-18,Thanjavur,Groundnut,88,50,52,6.8,685,25,65,118.66,1536.0,182261.76
2189,2025-04-12,Kanyakumari,Pumpkin,105,57,83,6.7,1428,29,68,99.58,17742.0,1766748.36
2190,2025-07-05,Coimbatore,Chickpea,83,39,42,6.5,714,17,68,114.33,3118.0,356480.94
2191,2025-09-11,Karur,Banana,193,81,131,6.7,1545,30,67,102.12,36646.0,3742289.52
